N,P,K,temperature,humidity,ph,rainfall,label
81.0,53.0,42.0,22.42,83.17,5.79,184.76,rice
96.0,40.0,38.0,27.21,82.62,6.37,265.6,rice
97.0,40.0,43.0,27.65,80.18,5.93,266.66,rice
79.0,58.0,36.0,20.9,83.92,6.9,237.42,rice
86.0,38.0,41.0,26.08,80.48,5.46,233.02,rice
92.0,43.0,40.0,22.26,80.17,6.16,276.69,rice
95.0,46.0,36.0,22.19,81.53,6.05,262.17,rice
71.0,37.0,41.0,26.98,81.95,5.69,222.26,rice
76.0,40.0,37.0,24.94,80.66,5.8,231.35,rice
97.0,46.0,37.0,21.27,82.98,6.89,192.94,rice
67.0,56.0,45.0,21.92,82.5,7.44,272.23,rice
98.0,55.0,41.0,21.89,81.41,6.11,245.4,rice
82.0,53.0,41.0,27.57,82.81,7.23,175.56,rice
65.0,46.0,36.0,23.77,81.0,5.96,282.88,rice
98.0,51.0,39.0,20.8,80.61,5.95,213.0,rice
86.0,47.0,44.0,20.27,80.8,7.06,175.25,rice
88.0,42.0,45.0,27.39,84.14,5.55,248.35,rice
87.0,44.0,40.0,25.94,80.03,5.75,225.52,rice
96.0,44.0,41.0,26.07,84.78,7.24,289.62,rice
69.0,37.0,43.0,24.64,83.16,6.65,151.03,rice
82.0,52.0,39.0,22.74,82.46,5.17,189.17,rice
70.0,50.0,43.0,23.45,81.83,5.53,162.42,rice
92.0,47.0,42.0,20.42,81.18,5.51,281.98,rice
80.0,47.0,41.0,20.95,80.68,6.88,291.32,rice
75.0,39.0,35.0,20.0,80.89,5.5,229.32,rice
78.0,57.0,41.0,21.0,84.78,7.11,246.29,rice
99.0,37.0,36.0,22.61,84.61,5.17,228.67,rice
76.0,44.0,37.0,23.36,83.75,5.47,173.94,rice
99.0,36.0,36.0,27.84,81.38,5.78,291.07,rice
66.0,43.0,39.0,24.05,83.24,5.98,155.31,rice
72.0,50.0,37.0,25.66,81.77,6.47,290.87,rice
75.0,45.0,45.0,20.79,84.51,6.77,239.14,rice
67.0,57.0,41.0,22.26,82.4,5.06,243.72,rice
95.0,41.0,44.0,25.3,83.88,6.19,179.26,rice
75.0,39.0,43.0,20.16,81.32,7.19,158.06,rice
99.0,60.0,41.0,24.71,83.97,6.45,175.97,rice
91.0,54.0,44.0,21.11,81.82,7.41,296.92,rice
